link_id,init_node,term_node,travel_time,electricity_consumption
541,182,180,1.727272727,0.243367891
542,183,184,2.796341463,0.295080227
543,183,185,2.416666667,0.262356959
544,183,178,2.330676329,0.284527836
545,183,182,2.5,0.182926829
546,184,145,2.517432273,0.302033164
547,184,183,2.796341463,0.295080227
548,185,186,2.333333333,0.229166667
549,185,183,2.416666667,0.262356959
550,186,187,1.888888889,0.196961209
551,186,185,2.333333333,0.229166667
552,187,188,4.922047833,0.473855624
553,187,154,3.297624611,0.393877672
554,187,175,3.74799435,0.377616156
555,187,186,1.888888889,0.196961209
556,188,148,3.037091503,0.245316083
557,188,150,3.986567164,0.421089328
558,188,152,3.736770245,0.377346919
559,188,187,4.922047833,0.473855624
